级别,日期和时间,来源,事件 ID,任务类别
信息,2015/6/14 12:00:01,EventLog,6013,无,系统启动时间为 335953 秒。
信息,2015/6/14 1:00:01,Service Control Manager,7036,无,Windows Time 服务处于 正在运行 状态。
信息,2015/6/19 14:33:57,Microsoft-Windows-FilterManager,6,无,文件系统筛选器“FileInfo”(6.1，‎2009‎-‎07‎-‎14T07:34:25.000000000Z)已成功加载并注册到筛选器管理器。
信息,2015/6/19 12:00:01,EventLog,6013,无,系统启动时间为 767952 秒。
信息,2015/6/20 12:00:01,EventLog,6013,无,系统启动时间为 854352 秒。
信息,2015/6/19 14:34:16,Microsoft-Windows-FilterManager,1,无,文件系统筛选器“FileInfo”(版本 6.1，‎2009‎-‎07‎-‎14T07:34:25.000000000Z)已成功卸载。
信息,2015/6/18 12:00:01,EventLog,6013,无,系统启动时间为 681552 秒。
信息,2015/6/17 12:00:00,EventLog,6013,无,系统启动时间为 595152 秒。
信息,2015/6/18 19:06:23,Microsoft-Windows-FilterManager,1,无,文件系统筛选器“FileInfo”(版本 6.1，‎2009‎-‎07‎-‎14T07:34:25.000000000Z)已成功卸载。
信息,2015/6/18 18:50:27,Microsoft-Windows-FilterManager,6,无,文件系统筛选器“FileInfo”(6.1，‎2009‎-‎07‎-‎14T07:34:25.000000000Z)已成功加载并注册到筛选器管理器。
信息,2015/6/10 14:41:00,Microsoft-Windows-Kernel-Processor-Power,26,(4),"组 0 中的处理器 1 暴露出以下信息:

1 空闲状态
0 性能状态
8 调节状态"
信息,2015/6/10 14:41:00,Microsoft-Windows-Kernel-Processor-Power,26,(4),"组 0 中的处理器 2 暴露出以下信息:

1 空闲状态
0 性能状态
8 调节状态"
信息,2015/6/10 14:41:12,Microsoft-Windows-UserPnp,20010,(7010),"一个或多个即插即用服务子系统的状态已改变。

即插即用安装子系统已启用:“true”
即插即用缓存子系统已启用:“true”
"
信息,2015/6/10 14:41:12,Service Control Manager,7036,无,Plug and Play 服务处于 正在运行 状态。
信息,2015/6/10 14:41:00,Microsoft-Windows-Kernel-Processor-Power,26,(4),"组 0 中的处理器 5 暴露出以下信息:

1 空闲状态
0 性能状态
8 调节状态"
信息,2015/6/10 14:41:00,Microsoft-Windows-Kernel-Processor-Power,26,(4),"组 0 中的处理器 6 暴露出以下信息:

1 空闲状态
0 性能状态
8 调节状态"
信息,2015/6/10 14:41:00,Microsoft-Windows-Kernel-Processor-Power,26,(4),"组 0 中的处理器 3 暴露出以下信息:

1 空闲状态
0 性能状态
8 调节状态"
信息,2015/6/10 14:41:00,Microsoft-Windows-Kernel-Processor-Power,26,(4),"组 0 中的处理器 4 暴露出以下信息:

1 空闲状态
0 性能状态
8 调节状态"
信息,2015/6/10 14:41:13,Service Control Manager,7036,无,Windows Event Log 服务处于 正在运行 状态。
信息,2015/6/10 14:41:12,Service Control Manager,7036,无,Remote Procedure Call (RPC) 服务处于 正在运行 状态。
信息,2015/6/10 14:41:13,Service Control Manager,7036,无,User Profile Service 服务处于 正在运行 状态。
信息,2015/6/10 14:41:13,Service Control Manager,7036,无,Group Policy Client 服务处于 正在运行 状态。
信息,2015/6/10 14:41:12,Microsoft-Windows-FilterManager,6,无,文件系统筛选器“luafv”(6.1，‎2009‎-‎07‎-‎14T07:26:13.000000000Z)已成功加载并注册到筛选器管理器。
信息,2015/6/10 14:41:12,Service Control Manager,7036,无,Power 服务处于 正在运行 状态。
信息,2015/6/10 14:41:12,Service Control Manager,7036,无,RPC Endpoint Mapper 服务处于 正在运行 状态。
信息,2015/6/10 14:41:12,Service Control Manager,7036,无,DCOM Server Process Launcher 服务处于 正在运行 状态。
信息,2015/6/10 14:40:52,vmci,3,无,VMCI: Port I/O 	 IoBase = 0000000000001080 Length = 40h

信息,2015/6/10 14:40:52,vmci,3,无,VMCI: Allocated gc buf FFFFFA80C19BB000 of size 69632.

信息,2015/6/10 14:40:52,vmci,3,无,VMCI: Resource type is not supported.

信息,2015/6/10 14:40:52,vmci,3,无,VMCI: Resource type is not supported.

信息,2015/6/10 14:40:31,Microsoft-Windows-Kernel-Power,109,(103),内核电源管理器已启动关机转换。
信息,2015/6/10 14:41:13,EventLog,6013,无,系统启动时间为 24 秒。
信息,2015/6/10 14:40:49,Microsoft-Windows-Kernel-General,12,无,操作系统已在系统时间 ‎2015‎-‎06‎-‎10T06:40:48.595198400Z 启动。
信息,2015/6/10 14:40:32,Microsoft-Windows-Kernel-General,13,无,操作系统将在系统时间 ‎2015‎-‎06‎-‎10T06:40:32.380046900Z 关闭。
信息,2015/6/10 14:40:55,Microsoft-Windows-FilterManager,6,无,文件系统筛选器“vsepflt”(6.1，‎2012‎-‎09‎-‎06T22:08:57.000000000Z)已成功加载并注册到筛选器管理器。
信息,2015/6/10 14:40:52,vmci,3,无,"VMCI: Device interrupts enabled, status reg = 0x1.
"
信息,2015/6/10 14:41:00,Microsoft-Windows-Kernel-Processor-Power,26,(4),"组 0 中的处理器 7 暴露出以下信息:

1 空闲状态
0 性能状态
8 调节状态"
信息,2015/6/10 14:41:00,Microsoft-Windows-Kernel-Processor-Power,26,(4),"组 0 中的处理器 0 暴露出以下信息:

1 空闲状态
0 性能状态
8 调节状态"
信息,2015/6/10 14:40:52,vmci,3,无,VMCI: Registered message-based interrupts.

信息,2015/6/10 14:40:52,vmci,3,无,VMCI: Resource type is not supported.

信息,2015/6/10 14:40:52,vmci,3,无,VMCIUtil: Host capability check: PASSED

信息,2015/6/10 14:40:52,vmci,3,无,VMCI: Using capabilities: 0xc

信息,2015/6/10 14:41:13,Service Control Manager,7036,无,COM+ Event System 服务处于 正在运行 状态。
信息,2015/6/10 14:41:16,Service Control Manager,7036,无,VMware Tools Service 服务处于 正在运行 状态。
